split,image_name,year,category,n_objects
Train,0033_2017.jpg,2017,Empty,0
Train,0033_2021.jpg,2021,Empty,0
Train,0034_2010.jpg,2010,Empty,0
Train,0034_2017.jpg,2017,Empty,0
Train,0034_2018.jpg,2018,Empty,0
Train,0034_2021.jpg,2021,MILCO-only,2
Train,0035_2010.jpg,2010,Empty,0
Train,0035_2015.jpg,2015,MILCO-only,2
Train,0035_2017.jpg,2017,Empty,0
Train,0035_2018.jpg,2018,Empty,0
Train,0035_2021.jpg,2021,MILCO-only,3
Train,0036_2010.jpg,2010,Empty,0
Train,0036_2017.jpg,2017,Empty,0
Train,0036_2018.jpg,2018,MILCO-only,1
Train,0036_2021.jpg,2021,Empty,0
Train,0037_2010.jpg,2010,Empty,0
Train,0037_2017.jpg,2017,Empty,0
Train,0037_2018.jpg,2018,MILCO-only,1
Train,0037_2021.jpg,2021,MILCO-only,4
Train,0038_2010.jpg,2010,Empty,0
Train,0038_2015.jpg,2015,Mixed,5
Train,0038_2017.jpg,2017,MILCO-only,2
Train,0038_2021.jpg,2021,Empty,0
Train,0039_2015.jpg,2015,Mixed,5
Train,0039_2017.jpg,2017,MILCO-only,2
Train,0039_2018.jpg,2018,Empty,0
Train,0039_2021.jpg,2021,Empty,0
Train,0040_2015.jpg,2015,Mixed,5
Train,0040_2017.jpg,2017,MILCO-only,2
Train,0040_2018.jpg,2018,Empty,0
Train,0040_2021.jpg,2021,MILCO-only,2
Train,0041_2015.jpg,2015,MILCO-only,1
Train,0041_2017.jpg,2017,MILCO-only,1
Train,0041_2021.jpg,2021,MILCO-only,1
Train,0042_2010.jpg,2010,Empty,0
Train,0042_2017.jpg,2017,MILCO-only,1
Train,0042_2018.jpg,2018,Empty,0
Train,0042_2021.jpg,2021,Empty,0
Train,0043_2010.jpg,2010,Empty,0
Train,0043_2017.jpg,2017,Empty,0
Train,0043_2018.jpg,2018,Empty,0
Train,0043_2021.jpg,2021,Empty,0
Train,0044_2010.jpg,2010,Empty,0
Train,0044_2015.jpg,2015,MILCO-only,2
Train,0044_2017.jpg,2017,Empty,0
Train,0044_2018.jpg,2018,Empty,0
Train,0044_2021.jpg,2021,Empty,0
Train,0045_2010.jpg,2010,Empty,0
Train,0045_2015.jpg,2015,MILCO-only,1
Train,0045_2017.jpg,2017,Empty,0
Train,0045_2021.jpg,2021,Empty,0
Train,0046_2010.jpg,2010,Empty,0
Train,0046_2017.jpg,2017,Empty,0
Train,0046_2018.jpg,2018,Empty,0
Train,0046_2021.jpg,2021,Empty,0
Train,0047_2017.jpg,2017,Empty,0
Train,0047_2018.jpg,2018,Empty,0
Train,0047_2021.jpg,2021,Empty,0
Train,0048_2010.jpg,2010,Empty,0
Train,0048_2015.jpg,2015,Mixed,7
Train,0048_2017.jpg,2017,Empty,0
Train,0048_2021.jpg,2021,Empty,0
Train,0049_2010.jpg,2010,Empty,0
Train,0049_2015.jpg,2015,Mixed,7
Train,0049_2017.jpg,2017,Empty,0
Train,0049_2018.jpg,2018,Empty,0
Train,0050_2010.jpg,2010,Empty,0
Train,0050_2017.jpg,2017,Empty,0
Train,0050_2018.jpg,2018,Empty,0
Train,0051_2010.jpg,2010,Empty,0
Train,0051_2017.jpg,2017,Empty,0
Train,0051_2018.jpg,2018,Empty,0
Train,0052_2010.jpg,2010,Empty,0
Train,0052_2015.jpg,2015,MILCO-only,1
Train,0052_2017.jpg,2017,Empty,0
Train,0052_2018.jpg,2018,Empty,0
Train,0053_2010.jpg,2010,Empty,0
Train,0053_2015.jpg,2015,MILCO-only,2
Train,0053_2017.jpg,2017,Empty,0
Train,0053_2018.jpg,2018,Empty,0
Train,0054_2010.jpg,2010,Empty,0
Train,0054_2015.jpg,2015,NOMBO-only,1
Train,0054_2017.jpg,2017,Empty,0
Train,0054_2018.jpg,2018,Empty,0
Train,0055_2010.jpg,2010,Empty,0
Train,0055_2015.jpg,2015,Mixed,13
Train,0055_2017.jpg,2017,Empty,0
Train,0055_2018.jpg,2018,Empty,0
Train,0056_2010.jpg,2010,Empty,0
Train,0056_2015.jpg,2015,Mixed,9
Train,0056_2017.jpg,2017,Empty,0
Train,0056_2018.jpg,2018,Empty,0
Train,0057_2010.jpg,2010,Empty,0
Train,0057_2015.jpg,2015,Mixed,9
Train,0057_2017.jpg,2017,Empty,0
Train,0057_2018.jpg,2018,Empty,0
Train,0058_2010.jpg,2010,Empty,0
Train,0058_2015.jpg,2015,Mixed,8
Train,0058_2017.jpg,2017,Empty,0
Train,0059_2010.jpg,2010,Empty,0
Train,0059_2015.jpg,2015,Mixed,8
Train,0059_2018.jpg,2018,Empty,0
Train,0060_2015.jpg,2015,Mixed,7
Train,0060_2017.jpg,2017,Empty,0
Train,0060_2018.jpg,2018,Empty,0
Train,0061_2010.jpg,2010,NOMBO-only,1
Train,0061_2015.jpg,2015,Mixed,7
Train,0061_2018.jpg,2018,Empty,0
Train,0062_2010.jpg,2010,NOMBO-only,1
Train,0062_2017.jpg,2017,Empty,0
Train,0063_2010.jpg,2010,MILCO-only,1
Train,0063_2015.jpg,2015,Mixed,6
Train,0063_2017.jpg,2017,Empty,0
Train,0063_2018.jpg,2018,Empty,0
Train,0064_2010.jpg,2010,Empty,0
Train,0064_2015.jpg,2015,Mixed,5
Train,0065_2010.jpg,2010,Empty,0
Train,0065_2015.jpg,2015,Mixed,5
Train,0065_2018.jpg,2018,Empty,0
Train,0066_2010.jpg,2010,Empty,0
Train,0066_2015.jpg,2015,Mixed,6
Train,0066_2017.jpg,2017,NOMBO-only,1
Train,0066_2018.jpg,2018,Empty,0
Train,0067_2010.jpg,2010,Empty,0
Train,0067_2015.jpg,2015,Mixed,3
Train,0067_2017.jpg,2017,NOMBO-only,1
Train,0067_2018.jpg,2018,Empty,0
Train,0068_2017.jpg,2017,Empty,0
Train,0068_2018.jpg,2018,NOMBO-only,1
Train,0069_2010.jpg,2010,Empty,0
Train,0069_2015.jpg,2015,NOMBO-only,3
Train,0069_2017.jpg,2017,Empty,0
Train,0069_2018.jpg,2018,Empty,0
Train,0070_2015.jpg,2015,Mixed,3
Train,0070_2017.jpg,2017,Empty,0
Train,0070_2018.jpg,2018,Empty,0
Train,0071_2010.jpg,2010,Empty,0
Train,0071_2015.jpg,2015,Mixed,3
Train,0071_2018.jpg,2018,Empty,0
Train,0072_2018.jpg,2018,Empty,0
Train,0073_2010.jpg,2010,Empty,0
Train,0073_2015.jpg,2015,NOMBO-only,4
Train,0073_2018.jpg,2018,Empty,0
Train,0074_2010.jpg,2010,Empty,0
Train,0074_2015.jpg,2015,Mixed,4
Train,0074_2017.jpg,2017,Empty,0
Train,0074_2018.jpg,2018,Empty,0
Train,0075_2010.jpg,2010,Empty,0
Train,0075_2015.jpg,2015,Mixed,4
Train,0075_2017.jpg,2017,Empty,0
Train,0076_2010.jpg,2010,Empty,0
Train,0076_2018.jpg,2018,Empty,0
Train,0077_2010.jpg,2010,Empty,0
Train,0077_2015.jpg,2015,Mixed,5
Train,0077_2017.jpg,2017,Empty,0
Train,0077_2018.jpg,2018,Empty,0
Train,0078_2010.jpg,2010,Empty,0
Train,0078_2015.jpg,2015,MILCO-only,4
Train,0078_2017.jpg,2017,Empty,0
Train,0079_2010.jpg,2010,Empty,0
Train,0079_2017.jpg,2017,Empty,0
Train,0079_2018.jpg,2018,Mixed,2
Train,0080_2010.jpg,2010,Empty,0
Train,0080_2017.jpg,2017,Empty,0
Train,0080_2018.jpg,2018,Mixed,2
Train,0081_2010.jpg,2010,Empty,0
Train,0081_2015.jpg,2015,MILCO-only,2
Train,0081_2017.jpg,2017,Empty,0
Train,0081_2018.jpg,2018,Empty,0
Train,0082_2015.jpg,2015,MILCO-only,3
Train,0082_2017.jpg,2017,Empty,0
Train,0082_2018.jpg,2018,Empty,0
Train,0083_2010.jpg,2010,Empty,0
Train,0083_2015.jpg,2015,MILCO-only,3
Train,0083_2018.jpg,2018,NOMBO-only,1
Train,0084_2017.jpg,2017,Empty,0
Train,0084_2018.jpg,2018,NOMBO-only,1
Train,0085_2015.jpg,2015,MILCO-only,2
Train,0085_2017.jpg,2017,Empty,0
Train,0085_2018.jpg,2018,NOMBO-only,1
Train,0086_2010.jpg,2010,Empty,0
Train,0086_2015.jpg,2015,MILCO-only,3
Train,0086_2017.jpg,2017,Empty,0
Train,0086_2018.jpg,2018,Empty,0
Train,0087_2010.jpg,2010,Empty,0
Train,0087_2015.jpg,2015,MILCO-only,3
Train,0087_2017.jpg,2017,Empty,0
Train,0088_2010.jpg,2010,Empty,0
Train,0088_2015.jpg,2015,Mixed,3
Train,0088_2017.jpg,2017,Empty,0
Train,0088_2018.jpg,2018,Empty,0
Train,0089_2017.jpg,2017,Empty,0
Train,0089_2018.jpg,2018,Empty,0
Train,0090_2010.jpg,2010,Empty,0
Train,0090_2015.jpg,2015,Mixed,7
Train,0091_2017.jpg,2017,Empty,0
Train,0091_2018.jpg,2018,Empty,0
Train,0092_2010.jpg,2010,Empty,0
Train,0092_2015.jpg,2015,MILCO-only,1
Train,0094_2015.jpg,2015,MILCO-only,1
Train,0094_2018.jpg,2018,Empty,0
Train,0095_2010.jpg,2010,Empty,0
Train,0095_2015.jpg,2015,MILCO-only,1
Train,0095_2018.jpg,2018,Empty,0
Train,0096_2010.jpg,2010,Empty,0
Train,0096_2018.jpg,2018,Empty,0
Train,0097_2010.jpg,2010,Empty,0
Train,0097_2018.jpg,2018,Empty,0
Train,0098_2010.jpg,2010,Empty,0
Train,0098_2015.jpg,2015,MILCO-only,1
Train,0098_2018.jpg,2018,Empty,0
Train,0099_2015.jpg,2015,MILCO-only,1
Train,0099_2018.jpg,2018,Empty,0
Train,0100_2010.jpg,2010,Empty,0
Train,0100_2015.jpg,2015,NOMBO-only,1
Train,0100_2018.jpg,2018,Empty,0
Train,0101_2010.jpg,2010,Empty,0
Train,0101_2018.jpg,2018,Empty,0
Train,0102_2018.jpg,2018,Empty,0
Train,0103_2010.jpg,2010,Empty,0
Train,0103_2018.jpg,2018,Empty,0
Train,0104_2010.jpg,2010,Empty,0
Train,0104_2015.jpg,2015,Mixed,3
Train,0105_2015.jpg,2015,Mixed,3
Train,0105_2018.jpg,2018,Empty,0
Train,0106_2010.jpg,2010,Empty,0
Train,0106_2018.jpg,2018,Empty,0
Train,0107_2015.jpg,2015,Mixed,3
Train,0108_2010.jpg,2010,Empty,0
Train,0108_2015.jpg,2015,Empty,0
Train,0108_2018.jpg,2018,Empty,0
Train,0109_2010.jpg,2010,Empty,0
Train,0109_2015.jpg,2015,Empty,0
Train,0109_2018.jpg,2018,Empty,0
Train,0110_2010.jpg,2010,Empty,0
Train,0110_2018.jpg,2018,Empty,0
Train,0111_2010.jpg,2010,Empty,0
Train,0111_2015.jpg,2015,Mixed,6
Train,0111_2018.jpg,2018,Empty,0
Train,0112_2015.jpg,2015,MILCO-only,4
Train,0112_2018.jpg,2018,Empty,0
Train,0113_2010.jpg,2010,Empty,0
Train,0113_2018.jpg,2018,Empty,0
Train,0114_2018.jpg,2018,Empty,0
Train,0115_2010.jpg,2010,Empty,0
Train,0115_2015.jpg,2015,Mixed,2
Train,0116_2015.jpg,2015,MILCO-only,1
Train,0117_2010.jpg,2010,Empty,0
Train,0117_2018.jpg,2018,NOMBO-only,1
Train,0118_2010.jpg,2010,Empty,0
Train,0119_2010.jpg,2010,Empty,0
Train,0119_2015.jpg,2015,MILCO-only,1
Train,0119_2018.jpg,2018,Empty,0
Train,0120_2010.jpg,2010,Empty,0
Train,0120_2015.jpg,2015,MILCO-only,1
Train,0120_2018.jpg,2018,Empty,0
Train,0121_2010.jpg,2010,Empty,0
Train,0122_2018.jpg,2018,Empty,0
Train,0123_2018.jpg,2018,Empty,0
Train,0124_2010.jpg,2010,Empty,0
Train,0125_2010.jpg,2010,Empty,0
Train,0126_2010.jpg,2010,Empty,0
Train,0127_2018.jpg,2018,Empty,0
Train,0128_2010.jpg,2010,Empty,0
Train,0128_2018.jpg,2018,Empty,0
Train,0129_2010.jpg,2010,Empty,0
Train,0129_2018.jpg,2018,Empty,0
Train,0130_2018.jpg,2018,Empty,0
Train,0131_2010.jpg,2010,Empty,0
Train,0131_2018.jpg,2018,MILCO-only,1
Train,0132_2018.jpg,2018,MILCO-only,1
Train,0133_2010.jpg,2010,Empty,0
Train,0133_2018.jpg,2018,Empty,0
Train,0134_2010.jpg,2010,Empty,0
Train,0135_2010.jpg,2010,Empty,0
Train,0135_2018.jpg,2018,Empty,0
Train,0137_2010.jpg,2010,Empty,0
Train,0137_2018.jpg,2018,MILCO-only,1
Train,0138_2010.jpg,2010,Empty,0
Train,0138_2018.jpg,2018,MILCO-only,1
Train,0139_2010.jpg,2010,Empty,0
Train,0139_2018.jpg,2018,Empty,0
Train,0140_2010.jpg,2010,Empty,0
Train,0140_2018.jpg,2018,Empty,0
Train,0141_2010.jpg,2010,Empty,0
Train,0141_2018.jpg,2018,Empty,0
Train,0142_2010.jpg,2010,Empty,0
Train,0142_2018.jpg,2018,Empty,0
Train,0143_2018.jpg,2018,Empty,0
Train,0144_2010.jpg,2010,Empty,0
Train,0144_2018.jpg,2018,Empty,0
Train,0145_2010.jpg,2010,Empty,0
Train,0145_2018.jpg,2018,Empty,0
Train,0146_2010.jpg,2010,Empty,0
Train,0146_2018.jpg,2018,Empty,0
Train,0147_2010.jpg,2010,Empty,0
Train,0148_2010.jpg,2010,Empty,0
Train,0148_2018.jpg,2018,MILCO-only,1
Train,0149_2010.jpg,2010,Empty,0
Train,0149_2018.jpg,2018,Empty,0
Train,0150_2010.jpg,2010,Empty,0
Train,0150_2018.jpg,2018,Empty,0
Train,0151_2010.jpg,2010,Empty,0
Train,0152_2010.jpg,2010,Empty,0
Train,0153_2018.jpg,2018,Empty,0
Train,0156_2010.jpg,2010,Empty,0
Train,0156_2018.jpg,2018,Empty,0
Train,0157_2010.jpg,2010,Empty,0
Train,0157_2018.jpg,2018,Empty,0
Train,0158_2010.jpg,2010,Empty,0
Train,0158_2018.jpg,2018,Empty,0
Train,0159_2010.jpg,2010,Empty,0
Train,0160_2010.jpg,2010,Empty,0
Train,0161_2018.jpg,2018,Empty,0
Train,0162_2018.jpg,2018,Empty,0
Train,0163_2018.jpg,2018,Empty,0
Train,0164_2010.jpg,2010,Empty,0
Train,0164_2018.jpg,2018,Empty,0
Train,0165_2018.jpg,2018,Empty,0
Train,0166_2018.jpg,2018,MILCO-only,1
Train,0167_2010.jpg,2010,Empty,0
Train,0167_2018.jpg,2018,Empty,0
Train,0168_2010.jpg,2010,Empty,0
Train,0168_2018.jpg,2018,Empty,0
Train,0169_2018.jpg,2018,Empty,0
Train,0170_2010.jpg,2010,Empty,0
Train,0170_2018.jpg,2018,Empty,0
Train,0171_2018.jpg,2018,Empty,0
Train,0172_2018.jpg,2018,Empty,0
Train,0173_2010.jpg,2010,Empty,0
Train,0173_2018.jpg,2018,Empty,0
Train,0174_2010.jpg,2010,Empty,0
Train,0174_2018.jpg,2018,Empty,0
Train,0175_2018.jpg,2018,Empty,0
Train,0176_2010.jpg,2010,Empty,0
Train,0177_2010.jpg,2010,Empty,0
Train,0177_2018.jpg,2018,Empty,0
Train,0178_2010.jpg,2010,Empty,0
Train,0179_2010.jpg,2010,Empty,0
Train,0179_2018.jpg,2018,Empty,0
Train,0181_2018.jpg,2018,Empty,0
Train,0182_2018.jpg,2018,Empty,0
Train,0183_2018.jpg,2018,Empty,0
Train,0184_2018.jpg,2018,Empty,0
Train,0185_2010.jpg,2010,Empty,0
Train,0185_2018.jpg,2018,Empty,0
Train,0186_2018.jpg,2018,Empty,0
Train,0187_2010.jpg,2010,Empty,0
Train,0187_2018.jpg,2018,Empty,0
Train,0188_2010.jpg,2010,Empty,0
Train,0189_2018.jpg,2018,Empty,0
Train,0190_2010.jpg,2010,Empty,0
Train,0191_2010.jpg,2010,Empty,0
Train,0192_2018.jpg,2018,Empty,0
Train,0193_2010.jpg,2010,Empty,0
Train,0193_2018.jpg,2018,Empty,0
Train,0194_2010.jpg,2010,Empty,0
Train,0194_2018.jpg,2018,Empty,0
Train,0195_2018.jpg,2018,Empty,0
Train,0196_2010.jpg,2010,Empty,0
Train,0197_2010.jpg,2010,Empty,0
Train,0197_2018.jpg,2018,Empty,0
Train,0198_2010.jpg,2010,Empty,0
Train,0198_2018.jpg,2018,Empty,0
Train,0199_2010.jpg,2010,Empty,0
Train,0199_2018.jpg,2018,Empty,0
Train,0201_2010.jpg,2010,Empty,0
Train,0201_2018.jpg,2018,Empty,0
Train,0202_2010.jpg,2010,Empty,0
Train,0202_2018.jpg,2018,Empty,0
Train,0203_2010.jpg,2010,Empty,0
Train,0204_2010.jpg,2010,Empty,0
Train,0204_2018.jpg,2018,Empty,0
Train,0205_2018.jpg,2018,Empty,0
Train,0206_2010.jpg,2010,Empty,0
Train,0207_2018.jpg,2018,Empty,0
Train,0208_2010.jpg,2010,MILCO-only,1
Train,0209_2018.jpg,2018,Empty,0
Train,0210_2010.jpg,2010,Empty,0
Train,0211_2010.jpg,2010,Empty,0
Train,0211_2018.jpg,2018,Empty,0
Train,0212_2010.jpg,2010,Empty,0
Train,0212_2018.jpg,2018,MILCO-only,1
Train,0213_2018.jpg,2018,MILCO-only,1
Train,0214_2010.jpg,2010,Empty,0
Train,0214_2018.jpg,2018,Empty,0
Train,0215_2010.jpg,2010,Empty,0
Train,0215_2018.jpg,2018,Empty,0
Train,0216_2018.jpg,2018,Empty,0
Train,0217_2010.jpg,2010,Empty,0
Train,0218_2018.jpg,2018,Empty,0
Train,0219_2010.jpg,2010,Empty,0
Train,0219_2018.jpg,2018,Empty,0
Train,0220_2010.jpg,2010,Empty,0
Train,0220_2018.jpg,2018,Empty,0
Train,0221_2018.jpg,2018,Empty,0
Train,0222_2010.jpg,2010,Empty,0
Train,0222_2018.jpg,2018,Empty,0
Train,0223_2010.jpg,2010,Empty,0
Train,0223_2018.jpg,2018,Empty,0
Train,0224_2010.jpg,2010,Empty,0
Train,0224_2018.jpg,2018,Empty,0
Train,0225_2010.jpg,2010,Empty,0
Train,0225_2018.jpg,2018,Empty,0
Train,0226_2010.jpg,2010,Empty,0
Train,0226_2018.jpg,2018,Empty,0
Train,0227_2010.jpg,2010,Empty,0
Train,0228_2010.jpg,2010,Empty,0
Train,0228_2018.jpg,2018,Empty,0
Train,0229_2010.jpg,2010,Empty,0
Train,0229_2018.jpg,2018,Empty,0
Train,0230_2010.jpg,2010,Empty,0
Train,0232_2018.jpg,2018,Empty,0
Train,0233_2018.jpg,2018,Empty,0
Train,0234_2010.jpg,2010,Empty,0
Train,0234_2018.jpg,2018,Empty,0
Train,0235_2010.jpg,2010,Empty,0
Train,0235_2018.jpg,2018,Empty,0
Train,0237_2010.jpg,2010,Empty,0
Train,0237_2018.jpg,2018,Empty,0
Train,0238_2010.jpg,2010,Empty,0
Train,0239_2010.jpg,2010,Empty,0
Train,0239_2018.jpg,2018,Empty,0
Train,0240_2010.jpg,2010,Empty,0
Train,0240_2018.jpg,2018,Empty,0
Train,0241_2010.jpg,2010,Empty,0
Train,0242_2010.jpg,2010,Empty,0
Train,0244_2010.jpg,2010,Empty,0
Train,0244_2018.jpg,2018,Empty,0
Train,0245_2010.jpg,2010,Empty,0
Train,0245_2018.jpg,2018,Empty,0
Train,0246_2010.jpg,2010,Empty,0
Train,0246_2018.jpg,2018,Empty,0
Train,0247_2010.jpg,2010,Empty,0
Train,0247_2018.jpg,2018,Empty,0
Train,0248_2010.jpg,2010,Empty,0
Train,0248_2018.jpg,2018,Empty,0
Train,0249_2018.jpg,2018,Empty,0
Train,0250_2010.jpg,2010,Empty,0
Train,0250_2018.jpg,2018,Empty,0
Train,0251_2018.jpg,2018,Empty,0
Train,0252_2010.jpg,2010,Empty,0
Train,0252_2018.jpg,2018,Empty,0
Train,0253_2010.jpg,2010,Empty,0
Train,0253_2018.jpg,2018,Empty,0
Train,0254_2010.jpg,2010,Empty,0
Train,0254_2018.jpg,2018,Empty,0
Train,0256_2018.jpg,2018,Empty,0
Train,0257_2010.jpg,2010,MILCO-only,2
Train,0258_2018.jpg,2018,Empty,0
Train,0259_2010.jpg,2010,Empty,0
Train,0259_2018.jpg,2018,Empty,0
Train,0260_2010.jpg,2010,Empty,0
Train,0260_2018.jpg,2018,Empty,0
Train,0261_2010.jpg,2010,Empty,0
Train,0261_2018.jpg,2018,Empty,0
Train,0262_2010.jpg,2010,Empty,0
Train,0262_2018.jpg,2018,Empty,0
Train,0263_2010.jpg,2010,Empty,0
Train,0264_2018.jpg,2018,Empty,0
Train,0265_2010.jpg,2010,Empty,0
Train,0266_2010.jpg,2010,Empty,0
Train,0266_2018.jpg,2018,Empty,0
Train,0267_2010.jpg,2010,Empty,0
Train,0267_2018.jpg,2018,Empty,0
Train,0268_2018.jpg,2018,NOMBO-only,1
Train,0269_2018.jpg,2018,NOMBO-only,1
Train,0271_2010.jpg,2010,Empty,0
Train,0272_2010.jpg,2010,Empty,0
Train,0273_2010.jpg,2010,Empty,0
Train,0273_2018.jpg,2018,Empty,0
Train,0274_2010.jpg,2010,Empty,0
Train,0274_2018.jpg,2018,Empty,0
Train,0275_2010.jpg,2010,Empty,0
Train,0275_2018.jpg,2018,MILCO-only,1
Train,0276_2018.jpg,2018,MILCO-only,1
Train,0277_2018.jpg,2018,Empty,0
Train,0278_2010.jpg,2010,Empty,0
Train,0279_2010.jpg,2010,Empty,0
Train,0279_2018.jpg,2018,Empty,0
Train,0280_2010.jpg,2010,Empty,0
Train,0280_2018.jpg,2018,Empty,0
Train,0281_2018.jpg,2018,Empty,0
Train,0282_2010.jpg,2010,Empty,0
Train,0282_2018.jpg,2018,MILCO-only,1
Train,0283_2018.jpg,2018,Empty,0
Train,0284_2010.jpg,2010,MILCO-only,1
Train,0286_2018.jpg,2018,NOMBO-only,1
Train,0287_2010.jpg,2010,Empty,0
Train,0288_2010.jpg,2010,Empty,0
Train,0288_2018.jpg,2018,Empty,0
Train,0290_2018.jpg,2018,Empty,0
Train,0292_2010.jpg,2010,Empty,0
Train,0292_2018.jpg,2018,Empty,0
Train,0293_2010.jpg,2010,Empty,0
Train,0293_2018.jpg,2018,Empty,0
Train,0294_2010.jpg,2010,Empty,0
Train,0295_2018.jpg,2018,Empty,0
Train,0296_2010.jpg,2010,Empty,0
Train,0297_2010.jpg,2010,Empty,0
Train,0297_2018.jpg,2018,Empty,0
Train,0298_2010.jpg,2010,Empty,0
Train,0298_2018.jpg,2018,Empty,0
Train,0299_2010.jpg,2010,MILCO-only,1
Train,0299_2018.jpg,2018,Empty,0
Train,0302_2010.jpg,2010,MILCO-only,1
Train,0302_2018.jpg,2018,Empty,0
Train,0303_2010.jpg,2010,Empty,0
Train,0304_2010.jpg,2010,Empty,0
Train,0304_2018.jpg,2018,Empty,0
Train,0305_2010.jpg,2010,MILCO-only,1
Train,0305_2018.jpg,2018,Empty,0
Train,0306_2010.jpg,2010,Empty,0
